car_name,brand,budget,usage,fuel,family_size,priority,description,price,rating
Maruti Suzuki Alto K10,Maruti,under_5L,city,petrol,1-2,mileage,"Best entry-level city car, excellent mileage, easy to park",₹3.5L,4.0
Maruti Suzuki S-Presso,Maruti,under_5L,city,petrol,1-2,style,"Mini SUV looks, affordable, great for first time buyers",₹4.3L,4.1
Maruti Suzuki Swift,Maruti,5-10L,city,petrol,3-4,style,"Sporty hatchback, great for city, stylish looks",₹6.5L,4.3
Maruti Suzuki Dzire,Maruti,5-10L,both,petrol,3-4,mileage,"Most popular sedan, excellent mileage, comfortable",₹6.8L,4.3
Maruti Suzuki Wagon R,Maruti,5-10L,city,petrol,3-4,comfort,"Tall boy design, spacious for size, practical daily car",₹5.5L,4.1
Maruti Suzuki Celerio,Maruti,5-10L,city,petrol,1-2,mileage,"Lightweight, best in class fuel efficiency, easy drive",₹5.3L,4.0
Maruti Suzuki Baleno,Maruti,5-10L,city,petrol,3-4,style,"Premium hatchback, spacious, feature rich",₹6.9L,4.3
Maruti Suzuki Ertiga,Maruti,10-20L,both,petrol,5+,comfort,"Best family MPV, spacious, smooth ride",₹8.7L,4.4
Maruti Suzuki Brezza,Maruti,10-20L,both,petrol,3-4,style,"Compact SUV, stylish, great for city and highway",₹8.3L,4.3
Maruti Suzuki Grand Vitara,Maruti,10-20L,both,petrol,3-4,mileage,"Strong hybrid SUV, best mileage in segment, premium",₹10.9L,4.4
Hyundai i10 Grand,Hyundai,5-10L,city,petrol,1-2,comfort,"Premium hatchback, comfortable interiors, city friendly",₹5.9L,4.2
Hyundai i20,Hyundai,10-20L,city,petrol,3-4,style,"Feature-rich hatchback, sporty, great tech",₹7.5L,4.3
Hyundai Creta,Hyundai,10-20L,both,petrol,3-4,comfort,"Most loved SUV in India, premium feel, smooth highway drive",₹11.4L,4.5
Hyundai Creta,Hyundai,10-20L,both,diesel,3-4,mileage,"Diesel variant great for long highway trips, powerful",₹13.4L,4.4
Hyundai Venue,Hyundai,10-20L,city,petrol,3-4,style,"Compact SUV, connected features, urban style",₹7.9L,4.2
Hyundai Aura,Hyundai,5-10L,both,petrol,3-4,mileage,"Compact sedan, great mileage, comfortable boot space",₹6.3L,4.1
Hyundai Alcazar,Hyundai,20L+,both,petrol,5+,comfort,"3 row premium SUV, spacious, loaded with features",₹16.8L,4.3
Hyundai Tucson,Hyundai,20L+,highway,petrol,3-4,performance,"Premium SUV, powerful, highway beast",₹27.7L,4.4
Tata Nexon,Tata,10-20L,both,petrol,3-4,performance,"5-star safety rated, powerful, great value",₹8.1L,4.3
Tata Nexon EV,Tata,20L+,both,electric,3-4,performance,"Best electric SUV in India, fast, zero fuel cost",₹14.7L,4.4
Tata Punch,Tata,5-10L,city,petrol,3-4,style,"Micro SUV, safest in class, trendy looks",₹6.1L,4.3
Tata Tiago,Tata,5-10L,city,petrol,1-2,mileage,"Affordable, safe, good mileage for daily commute",₹5.4L,4.1
Tata Tiago EV,Tata,10-20L,city,electric,1-2,mileage,"Cheapest electric car in India, perfect for city",₹8.5L,4.2
Tata Harrier,Tata,20L+,both,diesel,3-4,style,"Bold design, powerful diesel, premium feel",₹15.5L,4.4
Tata Safari,Tata,20L+,both,diesel,5+,comfort,"3 row SUV, spacious, safe, great road presence",₹15.5L,4.4
Tata Curvv EV,Tata,20L+,both,electric,3-4,style,"Coupe SUV design, futuristic, long range EV",₹17.5L,4.3
Honda City,Honda,10-20L,both,petrol,3-4,comfort,"Premium sedan, smooth highway performance, elegant",₹11.8L,4.4
Honda Amaze,Honda,5-10L,both,petrol,3-4,mileage,"Compact sedan, diesel gives best mileage, reliable",₹7.2L,4.2
Honda Elevate,Honda,10-20L,both,petrol,3-4,comfort,"New mid-size SUV, refined, highway comfortable",₹11.1L,4.3
Toyota Innova Crysta,Toyota,20L+,highway,diesel,5+,comfort,"Best family highway car, spacious, powerful diesel",₹19.8L,4.6
Toyota Fortuner,Toyota,20L+,highway,diesel,5+,performance,"Premium SUV, highway beast, status symbol",₹33.4L,4.6
Toyota Urban Cruiser Hyryder,Toyota,10-20L,both,petrol,3-4,mileage,"Strong hybrid, amazing mileage, reliable Toyota quality",₹10.9L,4.4
Toyota Glanza,Toyota,5-10L,city,petrol,3-4,style,"Rebadged Baleno, Toyota reliability, feature rich",₹6.9L,4.2
Kia Seltos,Kia,10-20L,both,petrol,3-4,style,"Feature loaded SUV, premium interiors, smooth drive",₹11.0L,4.5
Kia Carens,Kia,10-20L,both,petrol,5+,comfort,"3 row MPV, spacious, great for large families",₹10.5L,4.4
Kia Sonet,Kia,10-20L,city,petrol,3-4,style,"Compact SUV, loaded features, premium interiors",₹7.9L,4.3
MG Hector,MG,20L+,both,petrol,3-4,style,"Internet SUV, massive screen, premium tech features",₹14.5L,4.2
MG Astor,MG,10-20L,both,petrol,3-4,style,"AI powered SUV, ADAS, premium feel",₹10.3L,4.2
MG Comet EV,MG,5-10L,city,electric,1-2,mileage,"Tiny electric city car, zero running cost, easy parking",₹7.9L,4.0
Mahindra Scorpio N,Mahindra,20L+,both,diesel,5+,performance,"Rugged SUV, off-road capable, powerful presence",₹13.5L,4.5
Mahindra XUV700,Mahindra,20L+,both,petrol,5+,performance,"ADAS features, powerful, best value premium SUV",₹14.0L,4.6
Mahindra Bolero,Mahindra,5-10L,highway,diesel,5+,mileage,"Rugged workhorse, best for rural/highway, very reliable",₹9.4L,4.2
Mahindra XUV300,Mahindra,10-20L,city,petrol,3-4,performance,"Sporty compact SUV, powerful, safest in class",₹7.9L,4.2
Mahindra Thar,Mahindra,10-20L,highway,diesel,1-2,performance,"Iconic off-roader, adventure ready, bold statement",₹11.4L,4.6
Renault Kwid,Renault,under_5L,city,petrol,1-2,mileage,"Cheapest new car, SUV styling, easy city drive",₹4.7L,4.0
Renault Triber,Renault,5-10L,city,petrol,5+,comfort,"7 seater in hatchback price, flexible seating, practical",₹6.0L,4.1
Renault Kiger,Renault,5-10L,city,petrol,3-4,style,"Turbo engine, sporty looks, great value compact SUV",₹6.0L,4.1
Nissan Magnite,Nissan,5-10L,city,petrol,3-4,performance,"Turbocharged, punchy engine, great features for price",₹6.1L,4.1
Skoda Slavia,Skoda,10-20L,both,petrol,3-4,comfort,"Premium sedan, European build quality, smooth ride",₹11.5L,4.4
Skoda Kushaq,Skoda,10-20L,both,petrol,3-4,performance,"Solid build, turbocharged, fun to drive SUV",₹11.0L,4.3
Volkswagen Virtus,Volkswagen,10-20L,both,petrol,3-4,performance,"Driver focused sedan, powerful, European feel",₹11.6L,4.3
Volkswagen Taigun,Volkswagen,10-20L,both,petrol,3-4,performance,"Fun to drive SUV, solid build, turbocharged",₹11.6L,4.3
Jeep Compass,Jeep,20L+,both,petrol,3-4,style,"Premium SUV, iconic brand, feature loaded",₹20.5L,4.3
BMW 3 Series,BMW,20L+,highway,petrol,1-2,performance,"Ultimate driving machine, luxury, powerful",₹46.9L,4.7
Mercedes C-Class,Mercedes,20L+,highway,petrol,1-2,comfort,"Ultra premium sedan, smooth, status symbol",₹57.0L,4.7
Audi A4,Audi,20L+,highway,petrol,1-2,style,"Sporty luxury sedan, tech forward, elegant",₹47.2L,4.6
Datsun Redi-GO,Datsun,under_5L,city,petrol,1-2,mileage,"Ultra budget city car, lightweight, easy to park anywhere",₹2.9L,3.8
Maruti Suzuki Eeco,Maruti,under_5L,city,petrol,5+,comfort,"High roof van, massive space, popular family/commercial car",₹4.9L,3.9
Maruti Suzuki Ignis,Maruti,5-10L,city,petrol,3-4,style,"Quirky urban hatchback, boxy cool design, fun to drive",₹5.8L,4.1
Tata Altroz,Tata,5-10L,city,petrol,3-4,style,"Premium hatchback, 5-star safety, refined ride quality",₹6.6L,4.3
Hyundai Santro,Hyundai,5-10L,city,petrol,3-4,comfort,"Tall boy design, easy ingress, smooth automatic option",₹5.5L,4.0
Honda WR-V,Honda,5-10L,city,petrol,3-4,comfort,"Crossover hatchback, elevated stance, premium Honda feel",₹8.9L,4.1
Ford Figo,Ford,5-10L,city,petrol,3-4,performance,"Sporty hatchback, fun to drive, solid build quality",₹7.2L,4.1
Volkswagen Polo,Volkswagen,5-10L,city,petrol,3-4,performance,"European hatchback, solid build, driver focused, premium",₹9.2L,4.3
Maruti Suzuki XL6,Maruti,5-10L,both,petrol,5+,comfort,"6-seater MPV, captain seats, premium over Ertiga",₹9.5L,4.2
Hyundai Exter,Hyundai,10-20L,city,petrol,3-4,style,"Newest micro SUV, loaded features, sunroof, fresh design",₹6.1L,4.3
Maruti Suzuki Invicto,Maruti,20L+,both,petrol,5+,comfort,"Premium hybrid MPV, rebadged Innova HyCross, luxurious",₹24.8L,4.5
Tata Altroz EV,Tata,10-20L,city,electric,3-4,style,"Premium electric hatchback, safe, smooth city drive",₹9.5L,4.2
Mahindra BE 6,Mahindra,20L+,both,electric,3-4,performance,"Futuristic electric coupe SUV, 0-100 in 6.7s, tech loaded",₹18.9L,4.5
Mahindra XEV 9e,Mahindra,20L+,highway,electric,3-4,style,"Flagship electric SUV, stunning design, longest range",₹21.9L,4.5
Kia EV6,Kia,20L+,highway,electric,3-4,performance,"Ultra fast EV, 0-100 in 5.1s, premium GT line",₹60.9L,4.6
Hyundai Ioniq 5,Hyundai,20L+,highway,electric,3-4,style,"Retro futuristic EV, ultra fast charging, premium feel",₹44.9L,4.5
BYD Atto 3,BYD,20L+,both,electric,3-4,comfort,"Chinese electric SUV, massive range, value for money",₹24.9L,4.2
BYD Seal,BYD,20L+,highway,electric,3-4,performance,"Sports electric sedan, 523hp, blade battery tech",₹41.0L,4.3
MG Windsor EV,MG,10-20L,city,electric,3-4,comfort,"Crossover EV, battery as a service option, spacious",₹13.5L,4.3
MG ZS EV,MG,20L+,both,electric,3-4,style,"Reliable electric SUV, long range, premium interiors",₹18.9L,4.2
Citroen C3,Citroen,5-10L,city,petrol,3-4,style,"French flair, unique design, comfortable suspension",₹6.2L,4.0
Citroen C3 Aircross,Citroen,10-20L,both,petrol,5+,comfort,"7 seat French SUV, plush ride, distinctive styling",₹10.5L,4.1
Jeep Meridian,Jeep,20L+,highway,diesel,5+,performance,"3 row premium Jeep, powerful diesel, off-road capable",₹29.9L,4.4
Toyota Camry Hybrid,Toyota,20L+,highway,petrol,3-4,comfort,"Executive hybrid sedan, ultra smooth, fuel efficient",₹46.2L,4.6
Honda Accord,Honda,20L+,highway,petrol,3-4,comfort,"Premium executive sedan, refined, powerful hybrid",₹48.0L,4.5
Skoda Octavia,Skoda,20L+,highway,petrol,3-4,performance,"European performance sedan, spacious, fun to drive",₹26.5L,4.5
Volkswagen Passat,Volkswagen,20L+,highway,petrol,3-4,comfort,"Premium German sedan, elegant, loaded with features",₹32.0L,4.4
BMW X1,BMW,20L+,both,petrol,3-4,performance,"Entry luxury SUV, sporty, premium BMW feel",₹46.0L,4.5
BMW 5 Series,BMW,20L+,highway,petrol,1-2,performance,"Executive luxury sedan, powerful, pinnacle of driving",₹68.9L,4.8
Mercedes GLC,Mercedes,20L+,both,petrol,3-4,comfort,"Luxury compact SUV, ultra premium, smooth highway",₹74.0L,4.7
