car_name,brand,budget,usage,fuel,family_size,priority,description
Maruti Suzuki Alto K10,Maruti,under_5L,city,petrol,1-2,mileage,"Best entry-level city car, excellent mileage, easy to park"
Maruti Suzuki S-Presso,Maruti,under_5L,city,petrol,1-2,style,"Mini SUV looks, affordable, great for first time buyers"
Maruti Suzuki Swift,Maruti,5-10L,city,petrol,3-4,style,"Sporty hatchback, great for city, stylish looks"
Maruti Suzuki Dzire,Maruti,5-10L,both,petrol,3-4,mileage,"Most popular sedan, excellent mileage, comfortable"
Maruti Suzuki Wagon R,Maruti,5-10L,city,petrol,3-4,comfort,"Tall boy design, spacious for size, practical daily car"
Maruti Suzuki Celerio,Maruti,5-10L,city,petrol,1-2,mileage,"Lightweight, best in class fuel efficiency, easy drive"
Maruti Suzuki Baleno,Maruti,5-10L,city,petrol,3-4,style,"Premium hatchback, spacious, feature rich"
Maruti Suzuki Ertiga,Maruti,10-20L,both,petrol,5+,comfort,"Best family MPV, spacious, smooth ride"
Maruti Suzuki Brezza,Maruti,10-20L,both,petrol,3-4,style,"Compact SUV, stylish, great for city and highway"
Maruti Suzuki Grand Vitara,Maruti,10-20L,both,petrol,3-4,mileage,"Strong hybrid SUV, best mileage in segment, premium"
Hyundai i10 Grand,Hyundai,5-10L,city,petrol,1-2,comfort,"Premium hatchback, comfortable interiors, city friendly"
Hyundai i20,Hyundai,10-20L,city,petrol,3-4,style,"Feature-rich hatchback, sporty, great tech"
Hyundai Creta,Hyundai,10-20L,both,petrol,3-4,comfort,"Most loved SUV in India, premium feel, smooth highway drive"
Hyundai Creta,Hyundai,10-20L,both,diesel,3-4,mileage,"Diesel variant great for long highway trips, powerful"
Hyundai Venue,Hyundai,10-20L,city,petrol,3-4,style,"Compact SUV, connected features, urban style"
Hyundai Aura,Hyundai,5-10L,both,petrol,3-4,mileage,"Compact sedan, great mileage, comfortable boot space"
Hyundai Alcazar,Hyundai,20L+,both,petrol,5+,comfort,"3 row premium SUV, spacious, loaded with features"
Hyundai Tucson,Hyundai,20L+,highway,petrol,3-4,performance,"Premium SUV, powerful, highway beast"
Tata Nexon,Tata,10-20L,both,petrol,3-4,performance,"5-star safety rated, powerful, great value"
Tata Nexon EV,Tata,20L+,both,electric,3-4,performance,"Best electric SUV in India, fast, zero fuel cost"
Tata Punch,Tata,5-10L,city,petrol,3-4,style,"Micro SUV, safest in class, trendy looks"
Tata Tiago,Tata,5-10L,city,petrol,1-2,mileage,"Affordable, safe, good mileage for daily commute"
Tata Tiago EV,Tata,10-20L,city,electric,1-2,mileage,"Cheapest electric car in India, perfect for city"
Tata Harrier,Tata,20L+,both,diesel,3-4,style,"Bold design, powerful diesel, premium feel"
Tata Safari,Tata,20L+,both,diesel,5+,comfort,"3 row SUV, spacious, safe, great road presence"
Tata Curvv EV,Tata,20L+,both,electric,3-4,style,"Coupe SUV design, futuristic, long range EV"
Honda City,Honda,10-20L,both,petrol,3-4,comfort,"Premium sedan, smooth highway performance, elegant"
Honda Amaze,Honda,5-10L,both,petrol,3-4,mileage,"Compact sedan, diesel gives best mileage, reliable"
Honda Elevate,Honda,10-20L,both,petrol,3-4,comfort,"New mid-size SUV, refined, highway comfortable"
